t,x
514,1205
515,1223
516,1205
517,1153
518,1182
519,1245
520,1205
521,1151
522,1079
523,1151
524,1081
525,1128
526,1209
527,1157
528,1277
529,1259
530,1209
531,1220
532,1184
533,1220
534,1193
535,1247
536,1252
537,1259
538,1299
539,1173
540,1182
541,1180
542,1180
543,1331
544,1207
545,1236
546,1151
547,1182
548,1142
549,1191
550,1259
551,1166
552,1196
553,1241
554,1252
555,1241
556,1252
557,1157
558,1126
559,1164
560,1088
561,1173
562,1252
563,1288
564,1301
565,1286
566,1223
567,1232
568,1184
569,1207
570,1250
571,1256
572,1211
573,1216
574,1209
575,1209
576,1207
577,1151
578,1097
579,1097
580,989
581,966
582,1047
583,1056
584,1110
585,1290
586,1151
587,1166
588,1196
589,1196
590,1110
591,1110
592,1119
593,1119
594,1074
595,1106
596,1128
597,1218
598,1098
599,1044
600,1056
601,1058
602,1098
603,1043
604,1038
605,1142
606,1142
607,1193
608,1103
609,989
610,936
611,1142
612,1142
613,1151
614,1151
615,1180
616,1259
617,1196
618,1142
619,1169
620,1196
621,1142
622,1128
623,1043
624,1097
625,1142
626,1205
627,1205
628,1164
629,1160
630,1196
631,1112
632,1169
633,1110
634,1178
635,1133
636,1153
637,1139
638,1155
639,1187
640,1196
641,1220
642,1166
643,1128
644,1101
645,1157
646,1175
647,1142
648,1187
649,1254
650,1198
651,1263
652,1283
653,1252
654,1160
655,1234
656,1234
657,1232
658,1306
659,1205
660,1054
661,1151
662,1108
663,1097
